decoder,shot,converged,iterations,legs,successful_legs,selected_weight,candidate_weights,sampled_error_weight,syndrome_weight
relay_s1_positive_only,29,1,14,1,1,52.1414803475291,[52.1414803475291],15,41
relay_s1_positive_only,30,1,5,1,1,45.18928296785855,[45.18928296785855],13,31
relay_s1_positive_only,31,1,3,1,1,34.76098689835273,[34.76098689835273],10,28
relay_s1_positive_only,32,1,4,1,1,34.76098689835273,[34.76098689835273],10,28
relay_s1_positive_only,33,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_positive_only,34,1,3,1,1,20.85659213901164,[20.85659213901164],6,18
relay_s1_positive_only,35,1,7,1,1,45.18928296785855,[45.18928296785855],13,35
relay_s1_positive_only,36,1,7,1,1,20.85659213901164,[20.85659213901164],6,14
relay_s1_positive_only,37,1,18,1,1,59.09367772719965,[59.09367772719965],17,45
relay_s1_positive_only,38,1,4,1,1,34.76098689835273,[34.76098689835273],10,24
relay_s1_positive_only,39,1,1,1,1,10.42829606950582,[10.42829606950582],3,7
relay_s1_positive_only,40,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
relay_s1_positive_only,41,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_positive_only,42,1,14,1,1,45.18928296785855,[45.18928296785855],13,25
relay_s1_positive_only,43,1,5,1,1,45.18928296785855,[45.18928296785855],13,33
relay_s1_positive_only,44,1,5,1,1,45.18928296785855,[45.18928296785855],13,33
relay_s1_positive_only,45,1,4,1,1,27.808789518682186,[27.808789518682186],8,24
relay_s1_positive_only,46,1,19,1,1,45.18928296785855,[45.18928296785855],13,25
relay_s1_positive_only,47,1,9,1,1,52.1414803475291,[52.1414803475291],15,39
relay_s1_positive_only,48,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_positive_only,49,1,12,1,1,24.332690828846914,[24.332690828846914],7,15
relay_s1_positive_only,50,1,8,1,1,38.23708558818801,[38.23708558818801],11,31
