p,sample_seed,seed_index,shot,detector_sample_hash,logical_sample_hash,s0,s1,e0_syndrome_converged,e0_logical_correct,e0_syndrome_valid_logical_error,e0_non_convergence,e0_iterations,e0_legs,e0_weight,e0_natural_cycles,e0_result_cycles,e0_rng_words,e0_gamma_coefficients,e0_initial_rng_state,e0_final_rng_state,e1_syndrome_converged,e1_logical_correct,e1_syndrome_valid_logical_error,e1_non_convergence,e1_iterations,e1_legs,e1_weight,e1_natural_cycles,e1_result_cycles,e1_rng_words,e1_gamma_coefficients,e1_initial_rng_state,e1_final_rng_state,n1_cycles,n2_cycles,winner,same_cycle,global_failure,n2_syndrome_converged,n2_logical_correct,n2_syndrome_valid_logical_error,n2_non_convergence,parallel_rescue,early_wrong_risk,latency_reduction,relative_reduction,loser_quiescent_cycle,cleanup_cycles,avoided_loser_cycles,pair_reuse_cycle,n1_active_work,n2_active_work,e0_budget_reached,e1_budget_reached
0.003,20260809,0,30,9df0710ef1e0acb2745a96d0d9d1f9938274c749b4a87237dc5a3c5eb616d1bf,fbd8d8a07293b018af76b692382141513483ba2d1561c22597cc1844136b89c9,5972348325028625597,7927756242589418523,1,1,0,0,56,1,335.8874928717877,213209853,213209852,0,0,5972348325028625597,5972348325028625597,1,1,0,0,56,1,335.8874928717877,213209853,213209852,0,0,7927756242589418523,7927756242589418523,213209852,213209852,0,1,0,1,1,0,0,0,0,0,0.0,213209853,1,0,213209853,213209853,426419705,0,0
0.003,20260809,0,31,0f0ebfebcc671911a79983506df325ff262d75a1d235940f1d87b309875974d8,80b63944b8ddfb6e5a434a9eb879e1120c258bcc476715114b553fcda1566bce,15718977782930520314,9253345292079577902,1,1,0,0,22,1,275.3124962264201,84391027,84391026,0,0,15718977782930520314,15718977782930520314,1,1,0,0,22,1,275.3124962264201,84391027,84391026,0,0,9253345292079577902,9253345292079577902,84391026,84391026,0,1,0,1,1,0,0,0,0,0,0.0,84391027,1,0,84391027,84391027,168782053,0,0
0.003,20260810,1,0,4757744a20923927e4be055c4a79ae769237a6c50ef72581027daabc242eb0e4,0c909116348ee4ce8d492f320764690dd3fd1c1e9ff996ab032ad36c49791171,8839714986294915775,11252400628020589870,1,1,0,0,67,1,480.8124033205825,254886532,254886531,0,0,8839714986294915775,8839714986294915775,1,1,0,0,67,1,480.8124033205825,254886532,254886531,0,0,11252400628020589870,11252400628020589870,254886531,254886531,0,1,0,1,1,0,0,0,0,0,0.0,254886532,1,0,254886532,254886532,509773063,0,0
0.003,20260810,1,1,3bcaaead28573572e576adb530810418fbdbb758a6111075e54cd4ef23dd4500,baa7ceab1c33df71b6d4b4aabf68a5815ba775196aa5e8d3b4587c03d0e572b2,6287634936413551160,14094043944543510361,1,1,0,0,31,1,309.04388017571375,118490128,118490127,0,0,6287634936413551160,6287634936413551160,1,1,0,0,31,1,309.04388017571375,118490128,118490127,0,0,14094043944543510361,14094043944543510361,118490127,118490127,0,1,0,1,1,0,0,0,0,0,0.0,118490128,1,0,118490128,118490128,236980255,0,0
0.003,20260810,1,2,088e3a7979589c4dd0b9a7fa9f5e88f010f567c8b67e4c8703225d76bbac097f,b6ae0c37acbb0442d4771fd86181ea6367622052163a7dbadccb8b4ca48e77b8,13648327618015960820,4516680958580097677,1,1,0,0,74,1,324.6141466832845,281408055,281408054,0,0,13648327618015960820,13648327618015960820,1,1,0,0,74,1,324.6141466832845,281408055,281408054,0,0,4516680958580097677,4516680958580097677,281408054,281408054,0,1,0,1,1,0,0,0,0,0,0.0,281408055,1,0,281408055,281408055,562816109,0,0
0.003,20260810,1,3,7f47942917bb3c87fe4930832587ba9e440678cb4b757dbea8cff7bd461ccf01,98ae47195ae7b4cfa3795bb80c5c7e309a2b0d72e52c6d883e90808c47a89fc1,12235124074519564628,11018947222633287285,1,1,0,0,110,2,375.0155358314672,418870670,418870669,96292,67752,12235124074519564628,17430491466803501451,1,1,0,0,152,3,386.99412858337575,579065734,579065733,192301,135504,11018947222633287285,7095101056782195949,418870669,418870669,0,0,0,1,1,0,0,0,0,0,0.0,421359843,2489174,157705891,421359843,418870670,840230512,0,0
0.003,20260810,1,4,a2142c67ec4042a2f576374058ea8f65a81ecb67b628a1253c2e4282aa6a7339,72ed88f467715bf70bcc4d253af8e858da1baa1527290f5394a8dbe6746b64a3,7832633304671189574,9365783717583519640,1,1,0,0,967,16,417.4496396252037,3680790571,3680790570,1445182,1016280,7832633304671189574,7015408005180569949,1,1,0,0,183,3,426.9427056849722,696518605,696518604,192713,135504,9365783717583519640,17148507727127044666,3680790570,696518604,1,0,0,1,1,0,0,0,0,2984271966,0.8107692924240457,699007778,2489174,2981782793,699007778,3680790571,1395526382,0,0
0.003,20260810,1,5,41cac96dd6337d6bf1cd0013384d8f41370be6c18ee0554b34652d7125a1e007,169b5b823c62b64ca7e5f8456a13c8d5d06f4ece522a58bc2b8a784dcf3609b0,17891653386005265156,14949428090912688785,1,1,0,0,49,1,402.39280073000907,186688330,186688329,0,0,17891653386005265156,17891653386005265156,1,1,0,0,49,1,402.39280073000907,186688330,186688329,0,0,14949428090912688785,14949428090912688785,186688329,186688329,0,1,0,1,1,0,0,0,0,0,0.0,186688330,1,0,186688330,186688330,373376659,0,0
0.003,20260810,1,6,263a8030d18e677a364e62306f9163e994a876679cb1af65a42f770ecaa39fa8,ba3c702b24e4ef16c111bf92823170f6e81fd37fbafaccbeef52192a1c094380,2119602893334385276,1514891312455342317,1,1,0,0,23,1,317.60359603138767,88179816,88179815,0,0,2119602893334385276,2119602893334385276,1,1,0,0,23,1,317.60359603138767,88179816,88179815,0,0,1514891312455342317,1514891312455342317,88179815,88179815,0,1,0,1,1,0,0,0,0,0,0.0,88179816,1,0,88179816,88179816,176359631,0,0
0.003,20260810,1,7,1f75e0440544408eeabedde389c7b635eeaec689ec71f80e554d304c1cc05516,4b00aaeb2cfd2bd50ca5e02b450eb81bf983ec23d3ada30a4bddf29a86eb29d7,6756052867238520307,993519143548042848,1,1,0,0,190,3,392.9092261533162,723040226,723040225,192811,135504,6756052867238520307,15896530296955598919,1,1,0,0,173,3,342.8999873549485,658630944,658630943,192942,135504,993519143548042848,4403249421590150355,723040225,658630943,1,0,0,1,1,0,0,0,0,64409282,0.08908118770293866,661120117,2489174,61920109,661120117,723040226,1319751060,0,0
