observation_type,stratum,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
iteration,outcome=multi_leg_success,2,240,13000,4420,0.34,988,868,7712,3432,0.5323275862068966,0.2235294117647059,0.8988344988344988,0.10116550116550116,0.7764705882352941,0.5611819552996024
iteration,outcome=multi_leg_success,3,10,13000,3020,0.2323076923076923,2650,6520,3460,370,0.2889858233369684,0.8774834437086093,0.3466933867735471,0.6533066132264529,0.12251655629139073,0.6120884152410782
iteration,outcome=multi_leg_success,3,20,13000,3020,0.2323076923076923,2444,5564,4416,576,0.3051948051948052,0.8092715231788079,0.44248496993987974,0.5575150300601203,0.19072847682119207,0.6258782465593438
iteration,outcome=multi_leg_success,3,40,13000,3020,0.2323076923076923,2094,4423,5557,926,0.3213134878011355,0.6933774834437086,0.556813627254509,0.443186372745491,0.3066225165562914,0.6250955553491089
iteration,outcome=multi_leg_success,3,60,13000,3020,0.2323076923076923,1885,3715,6265,1135,0.3366071428571429,0.6241721854304636,0.6277555110220441,0.3722444889779559,0.3758278145695364,0.6259638482262538
iteration,outcome=multi_leg_success,3,80,13000,3020,0.2323076923076923,1692,3195,6785,1328,0.3462246777163904,0.5602649006622517,0.6798597194388778,0.32014028056112226,0.43973509933774835,0.6200623100505647
iteration,outcome=multi_leg_success,3,120,13000,3020,0.2323076923076923,1392,2422,7558,1628,0.3649711588883062,0.4609271523178808,0.757314629258517,0.24268537074148297,0.5390728476821192,0.6091208907881989
iteration,outcome=multi_leg_success,3,180,13000,3020,0.2323076923076923,999,1618,8362,2021,0.38173481085212074,0.330794701986755,0.837875751503006,0.162124248496994,0.669205298013245,0.5843352267448805
iteration,outcome=multi_leg_success,3,240,13000,3020,0.2323076923076923,693,1163,8817,2327,0.3733836206896552,0.2294701986754967,0.8834669338677354,0.11653306613226452,0.7705298013245033,0.5564685662716161
iteration,outcome=multi_leg_success,4,10,14988,4467,0.2980384307445957,4187,6826,3695,280,0.38018705166621264,0.937318110588762,0.3512023571903811,0.6487976428096188,0.06268188941123796,0.6442602338895715
iteration,outcome=multi_leg_success,4,20,14988,4467,0.2980384307445957,3936,5807,4714,531,0.40398234629990765,0.8811282740094023,0.44805626841554985,0.5519437315844501,0.11887172599059771,0.6645922712124761
iteration,outcome=multi_leg_success,4,40,14988,4467,0.2980384307445957,3464,4509,6012,1003,0.43446632384297,0.7754645175733155,0.5714285714285714,0.42857142857142855,0.22453548242668459,0.6734465445009434
iteration,outcome=multi_leg_success,4,60,14988,4467,0.2980384307445957,3034,3697,6824,1433,0.45075025999108603,0.6792030445489142,0.6486075468111396,0.35139245318886037,0.3207969554510857,0.6639052956800269
iteration,outcome=multi_leg_success,4,80,14988,4467,0.2980384307445957,2685,3115,7406,1782,0.46293103448275863,0.6010745466756212,0.7039254823685961,0.29607451763140386,0.3989254533243788,0.6525000145221087
iteration,outcome=multi_leg_success,4,120,14988,4467,0.2980384307445957,2145,2322,8199,2322,0.4801880456682337,0.4801880456682337,0.7792985457656116,0.22070145423438836,0.5198119543317663,0.6297432957169227
iteration,outcome=multi_leg_success,4,180,14988,4467,0.2980384307445957,1627,1407,9114,2840,0.536255767963085,0.3642265502574435,0.8662674650698603,0.13373253493013973,0.6357734497425566,0.6152470076636519
iteration,outcome=multi_leg_success,4,240,14988,4467,0.2980384307445957,1212,933,9588,3255,0.5650349650349651,0.2713230355943586,0.9113202167094383,0.08867978329056174,0.7286769644056413,0.5913216261518984
iteration,outcome=failure,1,10,5640,5360,0.950354609929078,5243,152,128,117,0.9718257645968489,0.9781716417910448,0.45714285714285713,0.5428571428571428,0.021828358208955224,0.717657249466951
iteration,outcome=failure,1,20,5640,5360,0.950354609929078,5181,118,162,179,0.9777316474806568,0.9666044776119403,0.5785714285714286,0.42142857142857143,0.0333955223880597,0.7725879530916845
iteration,outcome=failure,1,40,5640,5360,0.950354609929078,5061,84,196,299,0.9836734693877551,0.9442164179104477,0.7,0.3,0.05578358208955224,0.8221082089552239
iteration,outcome=failure,1,60,5640,5360,0.950354609929078,4961,64,216,399,0.9872636815920398,0.9255597014925373,0.7714285714285715,0.22857142857142856,0.07444029850746268,0.8484941364605544
iteration,outcome=failure,1,80,5640,5360,0.950354609929078,4862,60,220,498,0.9878098334010564,0.9070895522388059,0.7857142857142857,0.21428571428571427,0.09291044776119403,0.8464019189765458
iteration,outcome=failure,1,120,5640,5360,0.950354609929078,4704,32,248,656,0.9932432432432432,0.8776119402985074,0.8857142857142857,0.11428571428571428,0.12238805970149254,0.8816631130063965
iteration,outcome=failure,1,180,5640,5360,0.950354609929078,4496,0,280,864,1.0,0.8388059701492537,1.0,0.0,0.16119402985074627,0.9194029850746268
iteration,outcome=failure,1,240,5640,5360,0.950354609929078,4311,0,280,1049,1.0,0.8042910447761195,1.0,0.0,0.1957089552238806,0.9021455223880597
iteration,outcome=failure,2,10,5460,5040,0.9230769230769231,4976,239,181,64,0.9541706615532118,0.9873015873015873,0.430952380952381,0.569047619047619,0.012698412698412698,0.7091269841269842
iteration,outcome=failure,2,20,5460,5040,0.9230769230769231,4927,192,228,113,0.962492674350459,0.977579365079365,0.5428571428571428,0.45714285714285713,0.02242063492063492,0.7602182539682539
iteration,outcome=failure,2,40,5460,5040,0.9230769230769231,4829,136,284,211,0.9726082578046324,0.9581349206349207,0.6761904761904762,0.3238095238095238,0.04186507936507936,0.8171626984126985
iteration,outcome=failure,2,60,5460,5040,0.9230769230769231,4749,96,324,291,0.9801857585139319,0.9422619047619047,0.7714285714285715,0.22857142857142856,0.05773809523809524,0.856845238095238
iteration,outcome=failure,2,80,5460,5040,0.9230769230769231,4670,72,348,370,0.9848165331083931,0.9265873015873016,0.8285714285714286,0.17142857142857143,0.07341269841269842,0.8775793650793651
