sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,first_iteration_residual,minimum_residual,ending_residual,iterations_used,global_best_before,global_best_after,net_endpoint_improvement,new_global_best_improvement,decision_churn,residual_vector_movement,frozen_stagnation_steps,churning_stagnation_steps,marginal_saturation_hits,nu_saturation_hits,mu_saturation_hits,accumulator_saturation_hits,mean_marginal_sat_fraction,mean_marginal_near_zero_fraction,converged,category
20260809,18,E0,rescue,2,12,849,5,12,60,8,5,0,3,84572,10724,0,53,0,0,0,0,0.0,0.08053784390128702,0,weak
20260809,18,E0,rescue,3,12,860,7,13,60,5,5,-1,0,23135,5713,0,57,0,0,0,0,0.0,0.04025293226276224,0,stagnant
20260809,18,E0,rescue,4,13,832,13,17,60,5,5,-4,0,10945,4054,0,60,0,0,0,0,0.0,0.023930166883142433,0,stagnant
20260809,18,E0,rescue,5,17,888,1,13,60,5,1,4,4,19532,5996,3,47,0,0,0,0,0.0,0.04418418152477663,0,weak
20260809,18,E0,rescue,6,13,849,2,3,60,1,1,10,0,17809,6214,0,49,0,0,0,0,0.0,0.04687782894477899,0,stagnant
20260809,18,E0,rescue,7,3,827,19,32,60,1,1,-29,0,24357,6361,0,60,0,0,0,0,0.0,0.04434407840358955,0,regressive
20260809,18,E0,rescue,8,32,870,10,15,60,1,1,17,0,14629,5961,0,60,0,0,0,0,0.0,0.04378197937576258,0,stagnant
20260809,18,E0,rescue,9,15,823,1,9,60,1,1,6,0,21180,5244,7,43,0,0,0,0,0.0,0.036086757586491915,0,stagnant
20260809,18,E0,rescue,10,9,866,12,21,60,1,1,-12,0,21696,6168,0,60,0,0,0,0,0.0,0.043449639863029875,0,regressive
20260809,18,E0,rescue,11,21,839,4,352,60,1,1,-331,0,24394,6363,0,55,0,0,0,0,0.0,0.04300020663596646,0,regressive
20260809,18,E0,rescue,12,352,590,11,344,60,1,1,8,0,10556,6358,0,60,0,0,0,0,0.0,0.05053651552721692,0,stagnant
20260809,18,E0,rescue,13,344,692,2,10,60,1,1,334,0,20748,6988,0,54,0,0,0,0,0.0,0.060873479749675295,0,stagnant
20260809,18,E0,rescue,14,10,825,2,2,60,1,1,8,0,22689,5862,0,58,0,0,0,0,0.0,0.040802977525878685,0,stagnant
20260809,18,E0,rescue,15,2,860,3,26,60,1,1,-24,0,19824,5824,0,58,0,0,0,0,0.0,0.039751840044082346,0,regressive
20260809,18,E0,rescue,16,26,850,15,21,60,1,1,5,0,15077,4691,0,60,0,0,0,0,0.0,0.03092454835281615,0,stagnant
20260809,18,E0,rescue,17,21,874,11,19,60,1,1,2,0,20773,6390,0,60,0,0,0,0,0.0,0.04702985397725037,0,stagnant
20260809,18,E0,rescue,18,19,883,1,23,60,1,1,-4,0,22077,6470,0,55,0,0,0,0,0.0,0.04635951706222695,0,stagnant
20260809,18,E0,rescue,19,23,906,11,18,60,1,1,5,0,17845,5969,0,60,0,0,0,0,0.0,0.040477525878694846,0,stagnant
20260809,18,E0,rescue,20,18,912,9,34,60,1,1,-16,0,17361,6366,0,60,0,0,0,0,0.0,0.045171606250246,0,regressive
20260809,18,E0,rescue,21,34,724,10,20,60,1,1,14,0,10974,6056,0,60,0,0,0,0,0.0,0.048643336482071864,0,stagnant
20260809,18,E0,rescue,22,20,858,9,17,60,1,1,3,0,17523,5131,0,60,0,0,0,0,0.0,0.0328447868697603,0,stagnant
20260809,18,E0,rescue,23,17,848,10,14,60,1,1,3,0,21181,6477,0,60,0,0,0,0,0.0,0.04589606210886763,0,stagnant
20260809,18,E0,rescue,24,14,859,1,9,60,1,1,5,0,15588,5605,0,53,0,0,0,0,0.0,0.041368520486480105,0,stagnant
20260809,18,E0,rescue,25,9,832,5,59,60,1,1,-50,0,19138,5446,0,55,0,0,0,0,0.0,0.037754851025307984,0,regressive
20260809,18,E0,rescue,26,59,578,1,62,60,1,1,-3,0,5595,3635,3,45,0,0,0,0,0.0,0.032270388082024634,0,stagnant
20260809,18,E0,rescue,27,62,911,2,28,60,1,1,34,0,23967,5948,0,50,0,0,0,0,0.0,0.04085832644546778,0,stagnant
20260809,18,E0,rescue,28,28,878,9,17,60,1,1,11,0,11736,3659,0,60,0,0,0,0,0.0,0.023252450112173816,0,stagnant
