trajectory,case_id,sample_seed,shot,delta,absolute_delta,selection_affected
E1,20260812_015,20260812,15,1.1368683772161603e-13,1.1368683772161603e-13,False
E1,20260812_016,20260812,16,0.0,0.0,False
E1,20260812_017,20260812,17,0.0,0.0,False
E1,20260812_018,20260812,18,0.0,0.0,False
E1,20260812_019,20260812,19,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_020,20260812,20,0.0,0.0,False
E1,20260812_021,20260812,21,0.0,0.0,False
E1,20260812_022,20260812,22,0.0,0.0,False
E1,20260812_023,20260812,23,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_024,20260812,24,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_025,20260812,25,0.0,0.0,False
E1,20260812_026,20260812,26,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_027,20260812,27,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_028,20260812,28,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_029,20260812,29,0.0,0.0,False
E1,20260812_030,20260812,30,0.0,0.0,False
E1,20260812_031,20260812,31,,,False
