configuration,policy,state_percentile,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,state_deliberately_clipped,state_clip_candidates,state_nonzero_to_zero,state_value_count,edge_nonzero_to_zero,edge_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,threshold_bucket_equal,threshold_bucket_above
balanced,A_max,,86,1,1,1,31,239,4,0,0,0,0,0,32385456,4041445,32385456,391320,187050960,0,32,0,32,172810,0
balanced,A_max,,87,1,1,1,24,153,3,1,0,0,0,0,20732112,3575235,20732112,391320,119743920,0,9,0,9,117954,0
balanced,A_max,,88,1,1,1,23,19,1,1,0,0,0,0,2574576,160,2574576,0,14870160,0,2,0,2,64818,0
balanced,A_max,,89,1,1,1,38,168,3,0,0,0,0,0,22764672,3716888,22764672,391320,131483520,0,30,0,30,212847,0
balanced,A_max,,90,1,1,1,24,149,3,0,0,0,0,0,20190096,3785529,20190096,391320,116613360,0,31,0,31,181096,0
balanced,A_max,,91,1,1,1,71,241,4,0,0,0,0,0,32656464,2981354,32656464,391320,188616240,0,24,0,24,269847,0
balanced,A_max,,92,1,1,1,43,128,2,0,0,0,0,0,17344512,919512,17344512,0,100177920,0,7,0,7,81714,0
balanced,A_max,,93,1,1,1,22,128,2,0,0,0,0,0,17344512,3342103,17344512,391320,100177920,0,28,0,28,176853,0
balanced,A_max,,94,1,1,1,30,23,1,1,0,0,0,0,3116592,285,3116592,0,18000720,0,3,0,3,53890,0
balanced,A_max,,95,1,1,1,22,131,2,0,0,0,0,0,17751024,3818016,17751024,391320,102525840,0,30,0,30,238084,0
balanced,A_max,,96,1,1,1,35,180,3,0,0,0,0,0,24390720,3820774,24390720,391320,140875200,0,31,0,31,190745,0
balanced,A_max,,97,1,1,1,47,164,3,0,0,0,0,0,22222656,4850243,22222656,391320,128352960,0,28,0,28,189462,0
balanced,A_max,,98,1,1,1,26,21,1,1,0,0,0,0,2845584,220,2845584,0,16435440,0,4,0,4,71388,0
balanced,A_max,,99,1,1,1,35,140,2,0,0,0,0,0,18970560,3412947,18970560,391320,109569600,0,28,0,28,136059,0
balanced,A_max,,100,1,1,1,53,136,2,0,0,0,0,0,18428544,3348537,18428544,391320,106439040,0,29,0,29,180436,0
balanced,A_max,,101,1,1,1,26,122,2,0,0,0,0,0,16531488,1872802,16531488,391320,95482080,0,12,0,12,77064,0
balanced,A_max,,102,1,1,1,25,172,3,0,0,0,0,0,23306688,4110369,23306688,391320,134614080,0,33,0,33,154904,0
balanced,A_max,,103,1,1,1,45,303,5,0,0,0,0,0,41057712,3426378,41057712,391320,237139920,0,29,0,29,162710,0
balanced,A_max,,104,1,1,1,41,132,2,0,0,0,0,0,17886528,3643071,17886528,391320,103308480,0,30,0,30,213881,0
balanced,A_max,,105,1,1,1,48,485,8,0,0,0,0,0,65719440,3665081,65719440,391320,379580400,0,29,0,29,256028,0
