decoder,shot,decoder_seed,syndrome_weight,observed_logical_weight,syndrome_converged,logical_action_match,logically_correct,logical_residual_weight,final_syndrome_residual_weight,iterations,relay_legs,valid_solutions,selected_solution_weight,later_gamma_minimum,later_negative_gamma_count
independent_ensemble_s3_paper,19,110,188,3,1,1,1,0,0,570,11,3,352.4556250660338,-0.2399992953011754,180359
independent_ensemble_s3_paper,20,111,174,5,1,1,1,0,0,287,6,3,308.6340437998472,-0.23999899716124157,90408
independent_ensemble_s3_paper,21,112,183,7,1,1,1,0,0,121,3,3,349.61270131659455,-0.23999979971080337,36342
independent_ensemble_s3_paper,22,113,192,8,1,1,1,0,0,97,3,3,329.28804700131025,-0.23999258194698234,35892
independent_ensemble_s3_paper,23,114,159,9,1,1,1,0,0,221,5,3,318.40207885964844,-0.23999919377345585,71579
independent_ensemble_s3_paper,24,115,153,7,1,1,1,0,0,213,5,3,289.0291948873968,-0.23999608641788062,72331
independent_ensemble_s3_paper,25,116,147,2,1,1,1,0,0,225,5,3,253.7260247601767,-0.23999327825322342,71953
independent_ensemble_s3_paper,26,117,177,7,1,1,1,0,0,416,8,3,337.38151416387655,-0.2399957624659742,126292
independent_ensemble_s3_paper,27,118,217,6,1,1,1,0,0,1047,18,3,441.64585755629923,-0.23999875122992076,306793
independent_ensemble_s3_paper,28,119,177,7,1,1,1,0,0,440,8,3,366.4245671433426,-0.2399993536820978,126319
independent_ensemble_s3_paper,29,120,195,6,1,1,1,0,0,497,9,3,371.4667775319766,-0.23999749415407423,144604
independent_ensemble_s3_paper,30,121,215,7,1,1,1,0,0,748,13,3,369.1221316657617,-0.23999950409120277,217247
independent_ensemble_s3_paper,31,122,173,6,1,1,1,0,0,168,4,3,315.4709473059007,-0.23999637401563992,54095
