configuration,b,M,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,8,4,98,1,1,1,0,19,22,1,0,1,327.33594158445766,0,0,0,0,5385337,939239
balanced,8,4,99,1,1,1,0,36,25,1,0,1,355.7805720157923,0,0,0,0,5856031,1033241
balanced,8,4,100,1,1,1,0,49,35,1,0,0,376.2285641786908,0,0,0,0,9961391,1731258
balanced,8,4,101,1,1,1,0,28,160,3,0,0,345.3907573775002,0,0,0,0,51760863,8928647
balanced,8,4,102,1,1,1,0,21,26,1,0,0,272.6439639243604,0,0,0,0,7815189,1351355
balanced,8,4,103,1,1,1,0,52,253,4,0,0,451.3044919179119,0,0,0,0,80495542,13899973
balanced,8,4,104,1,1,1,0,13,25,1,0,1,290.83895956349977,0,0,0,0,6710388,1167069
balanced,8,4,105,1,1,1,0,30,31,1,0,1,422.2582574949289,0,0,0,0,8111172,1408130
balanced,8,4,106,1,1,1,0,24,32,1,0,1,308.1091799185616,0,0,0,0,9031560,1569111
balanced,8,4,107,1,1,1,0,28,55,1,0,0,296.3432288872443,0,0,0,0,17941577,3101331
balanced,8,4,108,1,1,1,0,32,18,1,0,0,357.0339576978198,0,0,0,0,3428272,604660
balanced,8,4,109,1,1,1,0,19,38,1,0,1,368.5845542802915,0,0,0,0,10102067,1760174
balanced,8,4,110,1,1,1,0,27,37,1,0,1,441.6374304536615,0,0,0,0,9739003,1696560
balanced,8,4,111,1,1,1,0,23,37,1,0,1,398.0083123076955,0,0,0,0,10433062,1811538
balanced,8,4,112,1,1,1,0,12,28,1,0,1,330.3181042673114,0,0,0,0,7415643,1283819
balanced,8,4,113,1,1,1,0,9,41,1,0,1,280.98431817549726,0,0,0,0,12857758,2226498
balanced,8,4,114,1,1,1,0,47,245,4,0,0,382.85031976904656,0,0,0,0,79759189,13736581
balanced,8,4,115,1,1,1,0,17,30,1,0,1,280.29823150691584,0,0,0,0,8598426,1493181
balanced,8,4,116,1,1,1,0,6,25,1,0,1,323.21488746233183,0,0,0,0,6426053,1117882
balanced,8,4,117,1,1,1,0,43,137,2,0,1,405.5307278975956,0,0,0,0,45593379,7850053
balanced,8,4,118,1,1,1,0,18,24,1,0,1,347.4686720716745,0,0,0,0,6117251,1062447
balanced,8,4,119,1,1,1,0,17,22,1,0,1,291.67056369975626,0,0,0,0,5720641,992799
balanced,8,4,120,1,1,1,0,18,56,1,0,1,292.9333712977218,0,0,0,0,18411750,3173575
balanced,8,4,121,1,1,1,0,27,32,1,0,1,442.7166953769953,0,0,0,0,8440111,1463478
balanced,8,4,122,1,1,1,0,12,48,1,0,1,337.08276075473293,0,0,0,0,15585814,2687547
balanced,8,4,123,1,1,1,0,13,18,1,0,1,365.0605178432185,0,0,0,0,3184573,565547
balanced,8,4,124,1,1,1,0,30,53,1,0,0,328.94615599261283,0,0,0,0,17381658,2998467
balanced,8,4,125,1,1,1,0,16,37,1,0,1,358.01359672029184,0,0,0,0,10754964,1862511
balanced,8,4,126,1,1,1,0,26,30,1,0,1,408.04438006846533,0,0,0,0,7842882,1363981
balanced,8,4,127,1,1,1,0,12,30,1,0,1,368.04427371581585,0,0,0,0,7941526,1379576
balanced,8,16,0,1,1,1,0,31,37,1,0,1,318.1463945999453,0,0,0,0,11281177,1951959
balanced,8,16,1,1,1,1,0,25,42,1,0,1,319.244503996015,0,0,0,0,12648752,2197393
balanced,8,16,2,1,1,1,0,33,40,1,0,1,386.867476264577,0,0,0,0,11466880,1991224
balanced,8,16,3,1,1,1,0,24,41,1,0,1,367.00421729754777,0,0,0,0,12597294,2172979
balanced,8,16,4,1,1,1,0,20,17,1,0,1,410.41626611945526,0,0,0,0,3789472,661078
balanced,8,16,5,1,1,1,0,12,53,1,0,1,263.4989090628512,0,0,0,0,16698557,2900355
balanced,8,16,6,1,1,1,0,35,110,2,0,0,307.6124757340724,0,0,0,0,35380110,6123747
