configuration,b,M,guard_bits,sample_seed,shot,syndrome_converged,logical_action_match,logically_correct,syndrome_valid_logical_error,non_convergence,float_logically_correct,iterations,float_iterations,relay_legs,float_relay_legs,selected_solution_weight,float_selected_solution_weight,prior_clipping,lambda_saturation,check_message_saturation,variable_message_saturation,marginal_saturation,accumulator_saturation,stored_operation_count,marginal_operation_count
balanced,14,16,4,20260809,89,1,1,1,0,0,1,99,32,2,1,362.8654569377215,366.4414296001787,0,0,0,18662187,3098497,0,90964008,6707448
balanced,14,16,4,20260809,90,1,1,1,0,0,1,21,16,1,1,304.36271079121286,311.677600028673,0,0,0,10630,2294,0,19348776,1422792
balanced,14,16,4,20260809,91,1,1,1,0,0,1,234,524,4,9,531.3734537103442,507.0068833867473,0,0,0,15540908,2600853,0,214913448,15853968
balanced,14,16,4,20260809,92,1,1,1,0,0,1,41,26,1,1,322.7155043235801,343.5577990850549,0,0,0,2458488,447036,0,37711656,2777832
balanced,14,16,4,20260809,93,1,1,1,0,0,1,21,31,1,1,330.4522182724087,300.4789985779083,0,0,0,5830,1380,0,19348776,1422792
balanced,14,16,4,20260809,94,1,1,1,0,0,1,31,33,1,1,344.76009683693974,362.5856886511678,0,0,0,747127,145016,0,28530216,2100312
balanced,14,16,4,20260809,95,1,1,1,0,0,1,17,18,1,1,348.3839892393951,339.04132144161815,0,0,0,0,0,0,15676200,1151784
balanced,14,16,4,20260809,96,1,1,1,0,0,1,162,16,3,1,305.1140708489718,300.6408532896441,0,0,0,19789621,3280414,0,148807080,10975824
balanced,14,16,4,20260809,97,1,1,1,0,0,1,33,345,1,6,466.1886615022887,417.980230749307,0,0,0,2193331,392589,0,30366504,2235816
balanced,14,16,4,20260809,98,1,1,1,0,0,1,22,25,1,1,327.33594158445766,326.960255386557,0,0,0,39937,8444,0,20266920,1490544
balanced,14,16,4,20260809,99,1,1,1,0,0,1,25,44,1,1,355.7805720157923,326.94040353973685,0,0,0,2,3,0,23021352,1693800
balanced,14,16,4,20260809,100,1,1,1,0,0,1,35,161,1,3,376.2285641786908,399.8671233225304,0,0,0,1278315,242562,0,32202792,2371320
balanced,14,16,4,20260809,101,1,1,1,0,0,1,168,18,3,1,358.06632039672434,309.140936455733,0,0,0,19025233,3165864,0,154315944,11382336
balanced,14,16,4,20260809,102,1,1,1,0,0,1,26,113,1,2,272.6439639243604,251.44306191146518,0,0,0,1718155,309595,0,23939496,1761552
balanced,14,16,4,20260809,103,1,1,1,0,0,1,106,54,2,1,407.4040634136925,410.70648991171845,0,0,0,18697013,3099262,0,97391016,7181712
balanced,14,16,4,20260809,104,1,1,1,0,0,1,25,18,1,1,290.83895956349977,295.380544476776,0,0,0,37221,8478,0,23021352,1693800
balanced,14,16,4,20260809,105,1,1,1,0,0,1,31,58,1,1,422.2582574949289,391.04841419798083,0,0,0,852254,160201,0,28530216,2100312
balanced,14,16,4,20260809,106,1,1,1,0,0,1,32,35,1,1,308.1091799185616,302.2556580886102,0,0,0,1145212,217811,0,29448360,2168064
balanced,14,16,4,20260809,107,1,1,1,0,0,1,55,133,1,2,296.3432288872443,356.0995573300848,0,0,0,8220201,1391298,0,50565672,3726360
balanced,14,16,4,20260809,108,1,1,1,0,0,1,18,228,1,4,357.0339576978198,366.3840904689731,0,0,0,0,0,0,16594344,1219536
balanced,14,16,4,20260809,109,1,1,1,0,0,1,38,34,1,1,368.5845542802915,379.0741094134602,0,0,0,1153723,209044,0,34957224,2574576
balanced,14,16,4,20260809,110,1,1,1,0,0,1,37,49,1,1,441.6374304536615,413.1985613690827,0,0,0,70109,18032,0,34039080,2506824
balanced,14,16,4,20260809,111,1,1,1,0,0,1,37,54,1,1,398.0083123076955,404.2715570445873,0,0,0,540670,110938,0,34039080,2506824
balanced,14,16,4,20260809,112,1,1,1,0,0,1,28,48,1,1,330.3181042673114,329.8719165750861,0,0,0,522548,102608,0,25775784,1897056
balanced,14,16,4,20260809,113,1,1,1,0,0,1,41,26,1,1,280.98431817549726,276.2851926126827,0,0,0,2896374,532549,0,37711656,2777832
balanced,14,16,4,20260809,114,1,1,1,0,0,1,651,20,11,1,356.1389374440263,349.97869022261057,0,0,0,19066723,3161515,0,597779496,44106552
balanced,14,16,4,20260809,115,1,1,1,0,0,1,30,19,1,1,280.29823150691584,261.4680266731877,0,0,0,137501,29848,0,27612072,2032560
balanced,14,16,4,20260809,116,1,1,1,0,0,1,25,34,1,1,323.21488746233183,334.35677903390723,0,0,0,540496,106667,0,23021352,1693800
balanced,14,16,4,20260809,117,1,1,1,0,0,1,101,120,2,2,389.6427468688375,419.127855815928,0,0,0,18512214,3078846,0,92800296,6842952
balanced,14,16,4,20260809,118,1,1,1,0,0,1,24,18,1,1,347.4686720716745,344.0011686597601,0,0,0,16138,3637,0,22103208,1626048
balanced,14,16,4,20260809,119,1,1,1,0,0,1,22,28,1,1,291.67056369975626,293.7021099222694,0,0,0,56979,11954,0,20266920,1490544
balanced,14,16,4,20260809,120,1,1,1,0,0,1,56,20,1,1,292.9333712977218,285.0630681786598,0,0,0,10383861,1754075,0,51483816,3794112
balanced,14,16,4,20260809,121,1,1,1,0,0,1,32,29,1,1,442.7166953769953,463.4497246426643,0,0,0,539647,108846,0,29448360,2168064
balanced,14,16,4,20260809,122,1,1,1,0,0,1,48,33,1,1,337.08276075473293,323.65360269006106,0,0,0,8524916,1425300,0,44138664,3252096
balanced,14,16,4,20260809,123,1,1,1,0,0,1,18,29,1,1,365.0605178432185,403.87720113420835,0,0,0,0,0,0,16594344,1219536
balanced,14,16,4,20260809,124,1,1,1,0,0,1,53,440,1,7,328.94615599261283,350.3179562433677,0,0,0,10102725,1690928,0,48729384,3590856
balanced,14,16,4,20260809,125,1,1,1,0,0,1,37,61,1,1,358.01359672029184,354.7803852639372,0,0,0,3760817,644205,0,34039080,2506824
balanced,14,16,4,20260809,126,1,1,1,0,0,1,30,25,1,1,408.04438006846533,354.90696138202713,0,0,0,431145,87166,0,27612072,2032560
balanced,14,16,4,20260809,127,1,1,1,0,0,1,30,38,1,1,368.04427371581585,369.43141632645563,0,0,0,502229,96203,0,27612072,2032560
balanced,14,16,4,20260810,0,1,1,1,0,0,1,34,50,1,1,500.9250440338453,502.49721104526446,0,0,0,661376,130544,0,31284648,2303568
balanced,14,16,4,20260810,1,1,1,1,0,0,1,15,50,1,1,315.2086960472403,319.08627542985323,0,0,0,0,0,0,13839912,1016280
balanced,14,16,4,20260810,2,1,1,1,0,0,1,27,34,1,1,328.4555325767011,333.84935737985114,0,0,0,1073172,200449,0,24857640,1829304
balanced,14,16,4,20260810,3,1,1,1,0,0,1,225,63,4,1,349.8893989122661,348.1625220704026,0,0,0,19673476,3258895,0,206650152,15244200
balanced,14,16,4,20260810,4,1,1,1,0,0,1,125,109,2,2,361.39156030550595,367.39040561063484,0,0,0,16709343,2784173,0,114835752,8469000
balanced,14,16,4,20260810,5,1,1,1,0,0,1,33,26,1,1,376.6419291294545,381.153274841904,0,0,0,2437883,427529,0,30366504,2235816
balanced,14,16,4,20260810,6,1,1,1,0,0,1,24,33,1,1,323.41076255152734,322.41231137976,0,0,0,544852,105477,0,22103208,1626048
