original_edge_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
727,1,2,2,2
728,1,3,3,1
729,1,0,0,1
730,1,2,2,1
731,1,0,0,1
732,1,1,1,1
733,1,1,1,1
734,1,2,2,1
735,1,2,2,1
736,0,3,3,0
737,1,0,0,1
738,1,1,1,1
739,1,2,2,1
740,1,3,3,1
741,0,3,3,0
742,0,0,0,0
743,0,1,1,0
744,0,2,2,0
745,0,3,3,0
746,0,0,0,0
747,1,0,0,1
748,0,1,1,0
749,0,2,2,0
750,0,3,3,0
751,0,0,0,0
752,0,1,1,0
753,1,2,2,1
754,1,1,1,1
755,0,2,2,0
756,1,2,2,1
757,0,3,3,0
758,1,3,3,1
759,1,0,0,1
760,0,0,0,0
761,0,1,1,0
762,0,2,2,0
763,0,3,3,0
764,0,0,0,0
765,1,1,1,2
766,1,1,1,0
767,0,2,2,3
768,1,3,3,3
769,1,0,0,2
770,1,1,1,3
771,1,3,3,2
772,1,3,3,3
773,1,2,2,3
774,1,0,0,2
775,1,1,1,3
776,1,2,2,2
777,1,0,0,3
778,1,1,1,0
779,1,2,2,1
780,1,3,3,1
781,1,2,2,1
782,1,0,0,1
783,1,3,3,1
784,1,0,0,1
785,1,1,1,1
786,1,1,1,1
787,0,2,2,0
788,1,3,3,1
789,1,0,0,1
790,1,1,1,1
791,1,2,2,1
792,0,2,2,0
793,0,3,3,0
794,0,0,0,0
795,0,1,1,0
796,0,2,2,0
797,1,3,3,1
798,0,3,3,0
799,0,0,0,0
800,0,1,1,0
801,0,2,2,0
802,0,3,3,0
803,0,0,0,0
804,1,3,3,1
805,1,0,0,1
806,0,1,1,0
807,1,1,1,1
808,0,2,2,0
809,1,2,2,1
810,1,3,3,1
811,0,3,3,0
812,0,0,0,0
813,0,1,1,0
814,0,2,2,0
815,0,3,3,0
816,1,0,0,3
817,1,0,0,3
818,0,1,1,2
819,1,2,2,2
820,1,3,3,3
821,1,0,0,2
822,1,2,2,3
823,1,2,2,2
824,1,1,1,2
825,1,3,3,3
826,1,0,0,2
827,1,1,1,0
828,1,3,3,2
829,1,0,0,3
830,1,1,1,1
831,1,2,2,1
832,1,1,1,1
833,1,3,3,1
834,1,2,2,1
835,1,3,3,1
836,1,0,0,1
837,1,0,0,1
838,1,1,1,1
839,1,2,2,1
840,0,3,3,0
841,1,0,0,1
842,0,1,1,0
843,0,1,1,0
844,0,2,2,0
845,0,3,3,0
846,0,0,0,0
847,0,1,1,0
848,0,2,2,0
849,0,2,2,0
850,0,3,3,0
851,0,0,0,0
852,0,1,1,0
853,0,2,2,0
854,0,3,3,0
855,1,0,0,1
856,0,3,3,0
857,0,0,0,0
858,0,0,0,0
859,0,1,1,0
860,0,1,1,0
861,0,2,2,0
862,0,2,2,0
863,0,3,3,0
864,0,0,0,0
865,0,1,1,0
866,0,2,2,0
867,1,3,3,2
868,1,3,3,2
869,0,0,0,3
870,1,1,1,3
871,1,2,2,2
872,1,3,3,3
873,1,1,1,2
874,1,1,1,3
875,1,0,0,3
876,1,2,2,2
877,1,3,3,3
878,1,0,0,2
879,1,2,2,3
880,1,3,3,2
881,1,0,0,3
882,1,1,1,2
883,1,2,2,1
884,1,0,0,1
885,0,1,1,0
886,1,2,2,1
887,1,3,3,1
888,1,3,3,1
889,1,0,0,1
890,0,1,1,0
891,0,2,2,0
892,0,3,3,0
893,0,0,0,0
894,0,0,0,0
895,0,1,1,0
896,0,2,2,0
897,0,3,3,0
898,0,0,0,0
899,0,1,1,0
900,0,1,1,0
901,0,2,2,0
902,0,3,3,0
903,0,0,0,0
904,0,1,1,0
905,0,2,2,0
906,0,2,2,0
907,0,3,3,0
908,0,0,0,0
909,0,1,1,0
910,0,2,2,0
911,0,3,3,0
912,1,1,1,1
913,0,3,3,0
914,0,0,0,0
915,0,0,0,0
916,0,1,1,0
917,0,1,1,0
918,1,3,3,3
919,1,2,2,3
920,1,0,0,2
921,0,3,3,2
922,1,0,0,2
923,1,1,1,3
924,1,2,2,2
925,1,3,3,3
926,1,0,0,2
927,1,1,1,3
928,1,2,2,3
929,1,3,3,2
930,1,1,1,2
931,1,2,2,1
932,1,3,3,1
933,1,0,0,1
934,1,1,1,1
935,0,2,2,0
936,1,0,0,1
937,1,1,1,1
938,1,2,2,1
939,1,3,3,1
940,1,2,2,1
941,1,3,3,1
942,0,0,0,0
943,0,1,1,0
944,0,2,2,0
945,0,3,3,0
946,0,0,0,0
947,0,1,1,0
948,0,2,2,0
949,0,3,3,0
950,0,0,0,0
951,0,0,0,0
952,0,1,1,0
953,0,2,2,0
954,0,3,3,0
955,0,0,0,0
956,0,1,1,0
957,1,2,2,1
958,0,1,1,0
959,0,2,2,0
960,0,2,2,0
961,0,3,3,0
962,0,3,3,0
963,0,0,0,0
964,0,0,0,0
965,0,1,1,0
966,0,2,2,0
967,0,3,3,0
968,0,0,0,0
