original_fault_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
864,0,2,3,1
865,0,3,0,3
866,0,1,1,2
867,0,2,2,1
868,0,0,0,0
869,0,3,3,2
870,0,1,1,3
871,0,2,2,1
872,1,2,1,3
873,1,0,0,1
874,1,0,3,2
875,1,3,2,1
876,0,1,1,0
877,1,3,2,1
878,1,0,0,2
879,1,3,3,0
880,1,1,1,1
881,0,2,3,3
882,0,0,0,0
883,0,1,2,2
884,0,3,3,1
885,0,2,0,3
886,0,1,3,0
887,0,0,2,3
888,0,3,1,1
889,0,2,0,2
890,0,2,2,1
891,0,0,0,3
892,0,1,1,0
893,0,2,2,1
894,0,3,3,2
895,0,0,0,0
896,1,3,3,1
897,0,1,1,3
898,0,0,0,0
899,0,1,1,3
900,0,2,2,1
901,0,3,3,0
902,0,2,2,3
903,0,3,3,2
904,0,1,1,0
905,0,2,2,1
906,0,0,0,3
907,0,1,1,0
908,1,1,2,2
909,1,2,0,3
910,1,0,3,1
911,1,3,2,2
912,0,1,1,0
913,1,2,3,1
914,1,0,0,3
915,1,3,1,1
916,0,3,2,0
917,0,0,0,1
918,0,1,3,2
919,1,2,1,3
920,0,2,2,0
921,0,1,1,3
922,0,0,3,2
923,0,2,2,3
924,0,3,0,0
925,0,1,1,1
926,0,0,0,1
927,0,1,3,3
928,0,2,2,0
929,0,3,0,1
930,0,1,1,2
931,0,0,3,0
932,1,3,2,1
933,0,3,1,2
934,0,2,3,3
935,0,1,2,1
936,0,0,0,0
937,0,3,3,2
938,0,3,0,3
939,0,1,2,1
940,0,0,1,0
941,0,2,3,3
942,0,1,0,2
943,0,0,1,1
944,1,1,3,0
945,1,3,1,1
946,0,0,0,0
947,1,1,2,1
948,1,3,3,2
949,1,2,1,3
950,1,0,0,1
951,0,3,3,3
952,0,2,2,0
953,0,1,1,1
954,0,2,2,1
955,0,0,0,3
956,0,1,1,0
957,0,3,3,0
958,0,2,2,2
959,0,0,3,0
960,0,2,2,1
961,0,1,1,3
962,0,3,3,0
963,0,2,2,1
964,0,0,0,2
965,0,1,1,3
966,0,1,1,0
967,0,0,0,2
968,0,3,3,3
969,0,2,2,0
