configuration,b,M,guard_bits,shot,syndrome_converged,logically_correct,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,4,8,4,50,1,1,0,34,114,2,0,0,339.6633913404025,50040,360,0,0,44302076,7676431
balanced,4,8,4,51,1,1,0,12,38,1,0,1,270.87937991022693,50040,0,0,0,14710052,2549797
balanced,4,8,4,52,1,1,0,8,38,1,0,1,263.5480642846523,50040,0,0,0,14734666,2553933
balanced,4,8,4,53,1,1,0,31,80,1,1,1,340.27920796982323,50040,0,0,0,31082074,5386295
balanced,4,8,4,54,1,1,0,30,183,3,0,0,426.19836516395134,50040,1279,0,0,70692100,12248514
balanced,4,8,4,55,1,1,0,50,36,1,0,1,470.4263099474008,50040,0,0,0,13832705,2398675
balanced,4,8,4,56,1,1,0,39,78,1,0,0,347.9271848678244,50040,0,0,0,30308041,5249933
balanced,4,8,4,57,1,1,0,41,188,3,0,0,339.58194187492063,50040,1157,0,0,72910083,12632057
balanced,4,8,4,58,1,1,0,29,54,1,0,1,319.9356958000182,50040,0,0,0,20840993,3613122
balanced,4,8,4,59,1,1,0,73,367,6,0,0,482.72417279770934,50040,4096,0,0,141484297,24522532
balanced,4,8,4,60,1,1,0,15,35,1,0,1,298.9431125711876,50040,0,0,0,13495671,2338922
balanced,4,8,4,61,1,1,0,49,252,4,0,1,411.42772020427617,50040,2077,0,0,97155420,16838907
balanced,4,8,4,62,1,1,0,47,131,2,0,0,436.3845338385777,50040,449,0,0,50748005,8793510
balanced,4,8,4,63,1,1,0,27,40,1,0,1,406.18898542550306,50040,0,0,0,15411331,2672270
balanced,4,8,4,64,1,1,0,20,57,1,0,1,364.365745379323,50040,0,0,0,22172212,3842603
balanced,4,8,4,65,1,1,0,26,34,1,0,1,321.99528243822147,50040,0,0,0,13165855,2282530
balanced,4,8,4,66,1,1,0,25,43,1,0,1,331.8645105661521,50040,0,0,0,16660893,2887505
balanced,4,8,4,67,1,1,0,50,121,2,0,0,502.222284703622,50040,734,0,0,46518270,8063415
balanced,4,8,4,68,1,1,0,29,173,3,0,0,297.1999373202965,50040,762,0,0,67180949,11637973
balanced,4,8,4,69,1,1,0,27,29,1,0,1,419.9102367832626,50040,0,0,0,11158185,1934506
balanced,4,8,4,70,1,1,0,20,56,1,0,1,305.55769607368677,50040,0,0,0,21646527,3751913
balanced,4,8,4,71,1,1,0,24,242,4,0,0,249.79364098901377,50040,781,0,0,94297209,16336855
