first_gamma,later_gamma_low,later_gamma_high,S,R,shot,syndrome_converged,logical_action_match,logically_correct,selected_weight,iterations,first_leg_iterations,legs,solutions,first_leg_success,rescued
0.0,-0.24,0.66,1,16,9,1,1,1,410.4618645138412,456,80,8,1,False,True
0.0,-0.24,0.66,1,16,10,1,1,1,395.59288380907685,229,80,4,1,False,True
0.0,-0.24,0.66,1,16,11,1,1,1,375.5771447742879,161,80,3,1,False,True
0.0,-0.24,0.66,1,16,12,1,1,1,458.6545593687107,249,80,4,1,False,True
0.0,-0.24,0.66,1,16,13,1,1,1,415.360830262527,108,80,2,1,False,True
0.0,-0.24,0.66,1,16,14,1,1,1,397.5328155140582,117,80,2,1,False,True
0.0,-0.24,0.66,1,16,15,1,1,1,394.44470527764196,424,80,7,1,False,True
0.0,-0.24,0.66,1,16,16,1,1,1,452.3248847030899,128,80,2,1,False,True
0.0,-0.24,0.66,1,16,17,1,1,1,368.43637521876474,470,80,8,1,False,True
0.0,-0.24,0.66,1,16,18,0,0,0,,980,80,16,0,False,False
0.0,-0.24,0.66,1,16,19,1,1,1,387.6683831913191,110,80,2,1,False,True
0.0,-0.24,0.66,1,16,20,1,1,1,309.79995896247976,160,80,3,1,False,True
0.0,-0.24,0.66,1,16,21,1,1,1,273.27694131595507,28,28,1,1,True,False
0.0,-0.24,0.66,1,16,22,1,1,1,356.4964698308506,175,80,3,1,False,True
0.0,-0.24,0.66,1,16,23,1,1,1,438.7477816801032,300,80,5,1,False,True
0.0,-0.24,0.66,1,16,24,1,1,1,317.4749249619391,415,80,7,1,False,True
0.0,-0.24,0.66,1,16,25,1,1,1,272.6594027270874,130,80,2,1,False,True
0.0,-0.24,0.66,1,16,26,1,1,1,328.9392997256548,111,80,2,1,False,True
0.0,-0.24,0.66,1,16,27,1,1,1,285.97836000052786,136,80,2,1,False,True
0.0,-0.24,0.66,1,16,28,1,1,1,384.7069513980912,703,80,12,1,False,True
0.0,-0.24,0.66,1,16,29,1,1,1,358.42710381061477,109,80,2,1,False,True
0.0,-0.24,0.66,1,16,30,1,1,1,381.2000547456911,113,80,2,1,False,True
0.0,-0.24,0.66,1,16,31,1,1,1,275.3124962264201,35,35,1,1,True,False
0.0,-0.24,0.66,1,16,32,1,1,1,365.50875940219794,172,80,3,1,False,True
0.0,-0.24,0.66,1,16,33,1,1,1,398.1735913862553,134,80,2,1,False,True
0.0,-0.24,0.66,1,16,34,1,1,1,371.85530877758947,240,80,4,1,False,True
0.0,-0.24,0.66,1,16,35,1,1,1,486.68339885182775,223,80,4,1,False,True
0.0,-0.24,0.66,1,16,36,1,1,1,477.64660918741225,174,80,3,1,False,True
0.0,-0.24,0.66,1,16,37,0,0,0,,980,80,16,0,False,False
0.0,-0.24,0.66,1,16,38,1,1,1,437.92444259241205,464,80,8,1,False,True
