policy,winner,first_success_cycles,first_success_quanta,global_failure,e0_work_before_first,e1_work_before_first,e0_flagged_work_before_first,e1_flagged_work_before_first,total_full_service_quanta,e0_total_work,e1_total_work,e0_flagged_work,e1_flagged_work,e0_ever_flagged,e1_ever_flagged,max_e0_service_gap,max_e1_service_gap,total_requested_accesses,total_issued_groups,total_retry_subsets,mean_active_lanes,lane_utilization,sample_seed,shot,winner_logical_correct,winner_syndrome_valid,winner_correction_hash,changed_winner,lost_success,logical_regression,invalid,cycles_delta_vs_round_robin,cycles_percent_vs_round_robin,classification
P2_stagnation_1to3,0,1064028645.0,329,0,165,164,0,0,365,165,200,0,0,0,0,1,1,1196441928.0,464191664.0,16077740.0,2.577473963427314,0.6443684908568285,20260809,15,1,1,1d1d5a786829d01cceeed4ee3d4f2aeef3eb480721c8a782d7818def7873c9f1,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,1,1035096930.0,320,0,160,160,0,0,386,226,160,26,0,1,0,1,1,1163905200.0,451557248.0,15653588.0,2.57753630387968,0.64438407596992,20260809,16,1,1,0ee60fbe4f9fda13770b36a022722fce6cd6d2b189e821cfb59b74aca37e0f7f,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,1,1035096930.0,320,0,160,160,0,0,386,226,160,26,0,1,0,1,1,1163905200.0,451557248.0,15653588.0,2.57753630387968,0.64438407596992,20260809,16,1,1,0ee60fbe4f9fda13770b36a022722fce6cd6d2b189e821cfb59b74aca37e0f7f,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,1,1035096930.0,320,0,160,160,0,0,386,226,160,26,0,1,0,1,1,1163905200.0,451557248.0,15653588.0,2.57753630387968,0.64438407596992,20260809,16,1,1,0ee60fbe4f9fda13770b36a022722fce6cd6d2b189e821cfb59b74aca37e0f7f,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,371820935.0,115,0,58,57,0,0,116,58,58,0,0,0,0,1,1,418095000.0,162217616.0,5610596.0,2.577371128422945,0.6443427821057363,20260809,17,1,1,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,371820935.0,115,0,58,57,0,0,116,58,58,0,0,0,0,1,1,418095000.0,162217616.0,5610596.0,2.577371128422945,0.6443427821057363,20260809,17,1,1,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,371820935.0,115,0,58,57,0,0,116,58,58,0,0,0,0,1,1,418095000.0,162217616.0,5610596.0,2.577371128422945,0.6443427821057363,20260809,17,1,1,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,1,3840365480.0,1188,0,594,594,188,147,2534,1940,594,1534,147,1,1,1,1,4318327296.0,1675521472.0,57896824.0,2.577303465317811,0.6443258663294528,20260809,18,1,1,2ae72d0ebcbf7cb1d2db2c7979f72a26f81cbb54417830380e4618ebd2e9ac75,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,1,3776072780.0,1168,0,574,594,168,147,2534,1940,594,1534,147,1,1,2,2,4246023456.0,1647444992.0,56954264.0,2.577338531252156,0.644334632813039,20260809,18,1,1,2ae72d0ebcbf7cb1d2db2c7979f72a26f81cbb54417830380e4618ebd2e9ac75,0,0,0,0,-64292700.0,-1.6741297237157782,A_same_success_same_winner
P2_stagnation_1to3,1,3750355700.0,1160,0,566,594,160,147,2534,1940,594,1534,147,1,1,3,3,4217101920.0,1636214400.0,56577240.0,2.577352894583986,0.6443382236459965,20260809,18,1,1,2ae72d0ebcbf7cb1d2db2c7979f72a26f81cbb54417830380e4618ebd2e9ac75,0,0,0,0,-90009780.0,-2.3437816132020894,A_same_success_same_winner
