sample_seed,seed_index,shot,engine,decoder_seed,syndrome_sample_hash,logical_sample_hash,syndrome_converged,logical_correct,syndrome_valid_logical_error,non_convergence,iterations,relay_legs,weight,natural_cycles,result_cycles,rng_words,gamma_coefficients,initial_rng_state,final_rng_state
20260809,0,10,3,14291528333637181956,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,14291528333637181956,14291528333637181956
20260809,0,11,0,1621262887729756765,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,1,1,0,0,104,2,370.80811021566626,396137710,396137709,96066,67752,1621262887729756765,12833354884182939130
20260809,0,11,1,16128902808687320708,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,1,1,0,0,221,4,416.9150270315036,841558791,841558790,289000,203256,16128902808687320708,7141913970114311719
20260809,0,11,2,3490018498715410626,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,1,1,0,0,111,2,392.33057615847326,422659385,422659384,96218,67752,3490018498715410626,9958464021636912731
20260809,0,11,3,1499523371498738133,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,1,1,0,0,119,2,398.75543772752565,452969631,452969630,96152,67752,1499523371498738133,11248387325495864830
20260809,0,12,0,15283566630660765739,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,15283566630660765739,15283566630660765739
20260809,0,12,1,12547269875732112094,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,12547269875732112094,12547269875732112094
20260809,0,12,2,4859823193783493802,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,4859823193783493802,4859823193783493802
20260809,0,12,3,16486611213675004948,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,16486611213675004948,16486611213675004948
20260809,0,13,0,14705238778227004122,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,1,1,0,0,181,3,437.69771024090545,688941112,688941111,192798,135504,14705238778227004122,3463258964696109380
20260809,0,13,1,15001961393019595652,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,1,1,0,0,660,11,438.1839452398897,2512301673,2512301672,964092,677520,15001961393019595652,6721669826651318544
20260809,0,13,2,16259381703601182350,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,1,1,0,0,130,2,404.5474747938377,494646764,494646763,96606,67752,16259381703601182350,2690255987293243606
20260809,0,13,3,3470887690853068040,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,1,1,0,0,223,4,401.98417820572257,849136693,849136692,289324,203256,3470887690853068040,8714751619634602330
20260809,0,14,0,15725056645400374487,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,1,1,0,0,39,1,423.85757918949764,148800440,148800439,0,0,15725056645400374487,15725056645400374487
20260809,0,14,1,6712535225929805219,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,1,1,0,0,39,1,423.85757918949764,148800440,148800439,0,0,6712535225929805219,6712535225929805219
20260809,0,14,2,17714835664481827566,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,1,1,0,0,39,1,423.85757918949764,148800440,148800439,0,0,17714835664481827566,17714835664481827566
20260809,0,14,3,1941164525585965043,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,1,1,0,0,39,1,423.85757918949764,148800440,148800439,0,0,1941164525585965043,1941164525585965043
20260809,0,15,0,8289395461930775230,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,1,1,0,0,165,3,371.098524465134,628320182,628320181,192492,135504,8289395461930775230,6726455086033311123
20260809,0,15,1,3610373903898914109,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,1,1,0,0,200,3,381.75433268224754,760928017,760928016,192712,135504,3610373903898914109,16448398275956033227
20260809,0,15,2,5697005432108474762,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,1,1,0,0,574,10,380.423319115568,2185397677,2185397676,865867,609768,5697005432108474762,8698506647263801347
20260809,0,15,3,6474420321059818982,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,1,1,0,0,786,13,415.64263381544845,2991821742,2991821741,1156913,813024,6474420321059818982,12670822516807712188
20260809,0,16,0,3545954161664281249,71b4ac9d521af4fd064a8244179223b0599783936c681f79ab6d37516eab2b5d,bcb06181dcb53f6d4173272c3a3841b2cb6bfe37e760adef26924917c0357197,1,1,0,0,226,4,468.98106312180346,860502695,860502694,288959,203256,3545954161664281249,6208480646687822029
