original_fault_id,partition_id,new_fault_id
516,0,282
517,0,283
518,0,284
519,0,285
520,0,286
521,0,287
522,0,288
523,0,289
524,0,290
525,0,291
526,0,292
527,1,17168
528,1,17169
529,0,293
530,0,294
531,0,295
532,0,296
533,0,297
534,1,17170
535,1,17171
536,0,298
537,0,299
538,1,17172
539,1,17173
540,1,17174
541,1,17175
542,1,17176
543,1,17177
544,1,17178
545,1,17179
546,1,17180
547,1,17181
548,1,17182
549,1,17183
550,0,300
551,1,17184
552,1,17185
553,1,17186
554,1,17187
555,0,301
556,0,302
557,0,303
558,0,304
559,0,305
560,1,17188
561,0,306
562,0,307
563,0,308
564,0,309
565,0,310
566,0,311
567,1,17189
568,1,17190
569,0,312
570,1,17191
571,0,313
572,1,17192
573,1,17193
574,0,314
575,0,315
576,0,316
577,0,317
578,0,318
579,1,17194
580,1,17195
581,1,17196
582,1,17197
583,1,17198
584,1,17199
585,1,17200
586,1,17201
587,0,319
588,1,17202
589,1,17203
590,1,17204
591,1,17205
592,1,17206
593,0,320
594,0,321
595,0,322
596,0,323
597,0,324
598,0,325
599,0,326
600,0,327
601,0,328
602,0,329
603,0,330
604,1,17207
605,1,17208
606,0,331
607,1,17209
608,0,332
609,1,17210
610,1,17211
611,0,333
612,0,334
613,0,335
614,0,336
615,0,337
616,1,17212
617,1,17213
618,1,17214
619,1,17215
620,1,17216
621,1,17217
622,1,17218
623,1,17219
624,0,338
625,1,17220
626,1,17221
627,1,17222
628,1,17223
629,0,339
630,0,340
631,0,341
632,0,342
633,0,343
634,0,344
635,1,17224
636,0,345
637,0,346
638,0,347
639,0,348
640,0,349
641,1,17225
642,1,17226
643,0,350
644,1,17227
645,0,351
646,1,17228
647,1,17229
648,0,352
649,0,353
650,0,354
651,0,355
652,0,356
653,1,17230
654,1,17231
655,1,17232
656,1,17233
657,1,17234
658,1,17235
659,1,17236
660,1,17237
661,0,357
662,1,17238
663,1,17239
664,1,17240
665,1,17241
666,0,358
667,0,359
668,0,360
669,0,361
670,0,362
671,1,17242
672,0,363
673,0,364
674,0,365
675,0,366
676,0,367
677,0,368
678,1,17243
679,1,17244
680,0,369
681,1,17245
682,0,370
683,1,17246
684,1,17247
685,0,371
686,0,372
687,0,373
688,0,374
689,0,375
690,1,17248
691,1,17249
692,1,17250
693,1,17251
694,1,17252
695,1,17253
696,1,17254
697,1,17255
698,1,17256
699,1,17257
700,0,376
701,1,17258
702,0,377
703,0,378
704,0,379
705,0,380
706,0,381
707,0,382
708,0,383
709,0,384
710,0,385
711,0,386
712,0,387
713,0,388
714,0,389
715,1,17259
716,0,390
717,0,391
718,0,392
719,0,393
720,0,394
721,0,395
722,0,396
723,0,397
724,0,398
725,0,399
726,0,400
727,1,17260
728,1,17261
729,0,401
730,1,17262
731,1,17263
732,1,17264
733,1,17265
734,0,402
735,0,403
736,0,404
737,0,405
738,0,406
739,0,407
740,0,408
741,0,409
742,0,410
743,0,411
744,0,412
745,0,413
746,0,414
747,0,415
748,0,416
749,0,417
750,0,418
751,0,419
752,0,420
753,0,421
754,0,422
755,0,423
756,1,17266
757,0,424
758,0,425
759,0,426
760,0,427
761,0,428
762,1,17267
763,1,17268
764,1,17269
765,1,17270
766,0,429
767,1,17271
768,1,17272
769,1,17273
770,1,17274
771,1,17275
772,1,17276
773,0,430
774,0,431
775,0,432
776,0,433
777,0,434
778,0,435
779,0,436
780,0,437
781,0,438
782,0,439
783,0,440
784,0,441
785,0,442
786,0,443
787,0,444
788,1,17277
789,0,445
790,0,446
791,0,447
792,0,448
793,0,449
794,0,450
795,0,451
796,0,452
797,0,453
798,0,454
799,0,455
800,1,17278
801,1,17279
802,0,456
803,1,17280
804,1,17281
805,1,17282
806,1,17283
807,1,17284
808,0,457
809,0,458
810,0,459
811,1,17285
812,0,460
813,0,461
814,0,462
815,0,463
816,0,464
817,0,465
818,0,466
819,0,467
820,0,468
821,0,469
822,0,470
823,0,471
824,1,17286
825,0,472
826,0,473
827,0,474
828,0,475
829,0,476
830,0,477
831,0,478
832,0,479
833,0,480
834,0,481
835,0,482
836,1,17287
837,1,17288
838,1,17289
839,1,17290
840,0,483
841,1,17291
842,1,17292
843,1,17293
844,0,484
845,0,485
846,0,486
847,1,17294
848,0,487
849,0,488
850,0,489
851,0,490
852,0,491
853,0,492
854,0,493
855,0,494
856,0,495
857,0,496
858,0,497
859,0,498
860,1,17295
861,0,499
862,0,500
863,0,501
864,0,502
865,0,503
866,0,504
867,0,505
868,0,506
869,0,507
870,0,508
871,0,509
872,1,17296
873,1,17297
874,1,17298
875,1,17299
876,0,510
877,1,17300
878,1,17301
879,1,17302
880,1,17303
881,0,511
882,0,512
883,0,513
884,0,514
885,0,515
886,0,516
887,0,517
888,0,518
889,0,519
890,0,520
891,0,521
892,0,522
893,0,523
894,0,524
895,0,525
896,1,17304
897,0,526
898,0,527
899,0,528
900,0,529
901,0,530
902,0,531
903,0,532
904,0,533
905,0,534
906,0,535
907,0,536
908,1,17305
909,1,17306
910,1,17307
911,1,17308
912,0,537
913,1,17309
914,1,17310
