sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,43,1,1009146,50,1,1,1,0,402.01405949414766
20260809,43,2,2009149,50,1,1,1,0,402.01405949414766
20260809,43,3,3009152,50,1,1,1,0,402.01405949414766
20260809,44,0,9144,40,1,1,1,0,384.61057828523064
20260809,44,1,1009147,40,1,1,1,0,384.61057828523064
20260809,44,2,2009150,40,1,1,1,0,384.61057828523064
20260809,44,3,3009153,40,1,1,1,0,384.61057828523064
20260809,45,0,9145,100,2,1,1,0,275.8170898883621
20260809,45,1,1009148,99,2,1,1,0,252.52181520865423
20260809,45,2,2009151,111,2,1,1,0,248.40577789970382
20260809,45,3,3009154,108,2,1,1,0,271.3511353046804
20260809,46,0,9146,40,1,1,1,0,392.36621478311866
20260809,46,1,1009149,40,1,1,1,0,392.36621478311866
20260809,46,2,2009152,40,1,1,1,0,392.36621478311866
20260809,46,3,3009155,40,1,1,1,0,392.36621478311866
20260809,47,0,9147,107,2,1,1,0,316.03924477451943
20260809,47,1,1009150,187,3,1,1,0,329.93802124650256
20260809,47,2,2009153,111,2,1,1,0,336.63430561193104
20260809,47,3,3009156,96,2,1,1,0,305.6225925577264
20260809,48,0,9148,49,1,1,1,0,392.6752934211929
20260809,48,1,1009151,49,1,1,1,0,392.6752934211929
20260809,48,2,2009154,49,1,1,1,0,392.6752934211929
20260809,48,3,3009157,49,1,1,1,0,392.6752934211929
20260809,49,0,9149,51,1,1,1,0,326.4988095837539
20260809,49,1,1009152,51,1,1,1,0,326.4988095837539
20260809,49,2,2009155,51,1,1,1,0,326.4988095837539
20260809,49,3,3009158,51,1,1,1,0,326.4988095837539
20260809,50,0,9150,29,1,1,1,0,312.3957280116331
20260809,50,1,1009153,29,1,1,1,0,312.3957280116331
20260809,50,2,2009156,29,1,1,1,0,312.3957280116331
20260809,50,3,3009159,29,1,1,1,0,312.3957280116331
20260809,51,0,9151,46,1,1,1,0,270.88026360459173
20260809,51,1,1009154,46,1,1,1,0,270.88026360459173
20260809,51,2,2009157,46,1,1,1,0,270.88026360459173
20260809,51,3,3009160,46,1,1,1,0,270.88026360459173
20260809,52,0,9152,42,1,1,1,0,252.36892901675873
20260809,52,1,1009155,42,1,1,1,0,252.36892901675873
20260809,52,2,2009158,42,1,1,1,0,252.36892901675873
